treatment	FS	FS	FS	B	B	B	F	F	F	S	B	S	S	FS	FS	FS	B	B	B	F	F	B	F	S	S	S	FS	FS	FS	B	F	F	F	S	S	S
PWY-5941: glycogen degradation II|g__Collinsella.s__Collinsella_aerofaciens	20.2918	25.3769	24.3625	26.4206	20.3718	25.1917	28.6587	28.716	34.0327	26.9774	25.6305	30.4191	32.3805	25.4335	25.8767	28.9104	20.8017	0	23.6367	33.5761	18.1033	21.897	23.6229	24.4768	25.6924	27.3475	25.4889	13.5482	22.9058	22.7453	20.6051	25.1076	22.0017	25.7101	26.8582	26.231
PWY-5941: glycogen degradation II|g__Coprococcus.s__Coprococcus_comes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.48574
PWY-5941: glycogen degradation II|g__Coprococcus.s__Coprococcus_eutactus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.56751	9.13674	7.75022	0	0	0	0	0	0	13.6611
PWY-5941: glycogen degradation II|g__Dorea.s__Dorea_longicatena	15.1694	0	12.2109	9.49477	0	0	0	4.06303	10.4625	0	10.0904	5.25485	0	0	0	0	10.1769	0	10.5081	7.24239	0	0	0	6.53596	11.6095	6.15776	13.5721	12.2698	12.1653	10.1812	0	0	8.90292	0	14.0656	12.9177
PWY-5941: glycogen degradation II|g__Escherichia.s__Escherichia_coli	0	0	0	27.0442	25.8241	53.8816	0	0	16.9989	24.9841	0	21.7025	0	0	0	10.2397	33.9899	0	55.8255	0	30.7791	0	18.1489	7.29022	9.68182	19.4534	20.8666	18.8049	35.3491	0	0	0	0	0	0	0
PWY-5941: glycogen degradation II|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5941: glycogen degradation II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	31.0191	44.7953	41.1125	6.58643	0	0	0	0	0	16.0051	37.8135	9.54213	0	0	0	10.9875	14.5294	0	11.4525	17.5901	14.3557	0	0	0	18.8799	12.4011	17.4019	16.6705	18.5483	19.934	20.6974	40.5861	38.6687	0	34.9874	41.7777
PWY-5941: glycogen degradation II|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0	10.3107	7.07826	0	0	0	0	0	0	0	0	4.84327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5941: glycogen degradation II|g__Fusobacterium.s__Fusobacterium_mortiferum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5941: glycogen degradation II|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5941: glycogen degradation II|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5941: glycogen degradation II|g__Roseburia.s__Roseburia_faecis	23.8373	0	27.4228	14.8701	17.6361	0	22.9524	0	14.6252	22.6202	20.1102	18.8392	14.0533	0	19.0192	18.3723	0	0	6.34662	0	0	0	0	0	0	0	0	0	8.98878	28.0928	23.0728	31.7551	24.8745	0	0	27.6898
PWY-5941: glycogen degradation II|g__Roseburia.s__Roseburia_hominis	6.3206	0	7.02927	23.3322	19.272	20.2799	31.7872	24.3799	28.4931	26.9139	0	30.2015	26.6884	24.6716	22.0548	20.243	19.7777	18.4107	24.4108	32.6464	20.0503	0	24.4492	20.1491	23.4044	21.781	24.6081	21.2959	24.1914	0	0	0	0	0	0	5.67906
PWY-5941: glycogen degradation II|g__Ruminococcus.s__Ruminococcus_sp_AF31_8BH	2.11632	0	2.85544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.774435	0.882179	0	0	0	0	0	0	0	0.400865	1.54682	0	0	2.37412	0	0	2.09865
PWY-5941: glycogen degradation II|g__Streptococcus.s__Streptococcus_equinus	0	0	1.52101	0	0	0	0	0	0	6.96898	0	4.51079	7.60049	0	5.16145	8.09492	0	0	0	0	0	0	0	8.19595	6.16494	8.11882	4.99456	3.10943	4.57984	0	0	0	0	0	0	0
PWY-5941: glycogen degradation II|g__Streptococcus.s__Streptococcus_pneumoniae	0	0	1.69332	0	0	0	0	0	0	10.3436	0	16.0045	15.8096	0	14.8928	27.2949	0	0	0	0	0	0	0	22.1242	7.77223	24.4046	12.1143	19.5155	19.6962	0	0	0	0	0	0	2.13134
PWY-5941: glycogen degradation II|g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0	0	0	0	0	0	14.5978	0	10.2204	12.991	8.37409	8.7845	14.8953	0	0	0	0	0	0	0	12.9909	9.8121	15.975	11.5795	13.5189	15.9051	0	0	0	0	0	0	0.718943
PWY-5941: glycogen degradation II|g__Streptococcus.s__Streptococcus_thermophilus	0	0	1.56333	0	0	0	0	0	0	0	0	0.274952	0	0	0	0.764632	0	0	0	0	0	0	0	0	0.271013	0.725945	0	0	0.954179	0	0	0	0	0	0	0.469687
PWY-5941: glycogen degradation II|g__Streptococcus.s__Streptococcus_vestibularis	0	0	0	0	0	0	0	0	0	2.1123	0	1.05372	2.28311	0	0	0	0	0	0	0	0	0	0	1.71976	0.956729	1.29588	0	1.8527	1.37739	0	0	0	0	0	0	0
PWY-5941: glycogen degradation II|unclassified	90.2637	94.1177	90.822	63.7393	68.6814	72.6598	81.3966	81.2051	81.1082	71.852	64.1862	58.2031	64.838	65.9997	62.4234	51.5371	65.4568	38.6502	53.9544	59.5735	60.2881	67.6688	57.1541	50.0303	54.2936	64.8686	75.6867	53.6968	63.2243	52.9932	62.7219	87.7295	65.6245	78.8045	44.4656	94.8815
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	0	0	0	198.237	145.628	212.604	123.989	0	167.562	156.34	0	145.279	128.85	0	0	160.385	188.773	101.446	194.574	139.647	146.513	0	120.83	0	143.851	139.194	136.036	113.933	139.901	0	0	0	0	0	0	75.1002
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)|g__Escherichia.s__Escherichia_coli	0	0	0	37.0377	32.0684	70.5329	0	0	0	18.0961	0	0	0	0	0	0	20.7896	0	47.504	8.1121	15.7817	0	0	0	0	0	0	0	15.6756	0	0	0	0	0	0	0
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5972: stearate biosynthesis I (animals)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis	210.833	201.466	195.536	249.376	186.201	232.154	155.984	224.852	204.854	205.854	186.318	191.401	141.808	133.578	147.478	173.599	226.869	126.984	201.521	169.616	182.592	205.167	136.395	175.749	205.432	183.073	201.416	164.371	169.661	223.545	177.853	187.577	234.39	208.532	196.341	251.953
PWY-5973: cis-vaccenate biosynthesis|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01156	0	4.14458	3.77679	0	0	0	0	5.13239	0	2.92878	2.92695	5.2293	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70915	0	1.27715	1.97592	0	0	0	0	0.949998	0	0	1.28309	1.63798	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Alistipes.s__Alistipes_timonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_caccae	0	0	0	1.02623	0	0.908139	0	0	0.598052	0	0	0	0	0	0	1.33932	0.7	0	0.616608	0	0	0	1.73724	0	0	0	0	0.742483	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_cellulosilyticus	2.63877	2.81999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.684905	1.47234	0	0	0	0	0	2.49869	0	0	0	0	0	0	0	0	0	0.924079
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_dorei	0	0	0	0	0	2.1469	0	0	0	0	0	2.23506	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41721	1.79892	0	0	0	0	0	0	0	0	1.2702
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_eggerthii	2.40592	0	0	1.66519	0	0	0	0	0	0	0	0	0	0	0	0	1.31717	0	0.865394	0	0	0	1.74173	1.21436	0	0	0	0	1.67707	0	0	2.96594	2.04224	0	2.36037	0
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_faecis	0	0	0	0.846472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.708788	0.545328	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.799514
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.888803	0	0	0	0	0	0	0	0	0	0.319655	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_intestinalis	0	0	0	0	0	0	0	0	0	0	1.57131	0.780652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.860831	1.09595	0	0	0	2.14578	0	0	2.16213
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_nordii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.777692	0	0	0	0	0	0	0	0.854848	0	0.638812	0.814914	0.703439	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	1.88009	0	0	1.42576	0	0	0	0	0	0	0	0	1.02586	0	0	0	0	0	0.995183	1.16631	0	0	0	0	0	0	0	0	0.873433	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0	0	0	1.13644	0	0	0	0	0	1.07237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.924989	0	0	0	0.491172	0	0	0	0	2.93649	0	2.68234
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	0.983901	0	0.808946	1.32243	0	0	0	0	0	0	0	0	0	0	0	0.979446	0	0	0	0	0	0	0	0.599207	0.693729	0.628896	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	25.4062	15.6366	18.1706	19.7989	15.1256	9.49191	13.4476	16.0148	14.7462	11.7705	12.7402	13.255	13.0594	14.8852	8.14595	6.70497	15.843	0	10.8126	9.54438	10.5665	19.0093	11.3474	12.8205	12.6126	12.2079	15.6972	9.47693	9.52707	21.003	20.3664	22.9303	15.2226	17.5318	14.868	16.318
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	14.0213	12.5471	0	0	0	0	17.6387	0	0	0	0	15.6213	0	8.53121	0	0	0	11.2223	0	0	15.7116	8.21226	0	5.96297	0	0	0	17.8508	12.0987	0	19.461
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	3.23213	3.20163	0	2.06709	0	1.4038	0	0.991157	2.90242	4.10428	0	1.95253	0	1.64182	0	0	3.50597	0	1.0085	4.96688	2.89107	0	0	0	3.09063	2.53823	2.71612	3.51863	2.24039	3.81623	0	0	0	0	0	2.42877
PWY-5973: cis-vaccenate biosynthesis|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	13.0117	17.5196	0	0	0	0	17.9709	0	0	0	0	14.0291	0	0	0	0	0	0	0	10.7609	0	0	0	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Blautia.s__Ruminococcus_torques	0	0	0	0	0	0	0	0	5.90591	0	0	0	0	0	0	0	0	0	0	12.9386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.23215
PWY-5973: cis-vaccenate biosynthesis|g__Catenibacterium.s__Catenibacterium_mitsuokai	19.5315	7.48824	11.0123	19.7207	9.91074	8.64078	10.131	14.9895	14.2952	11.7571	13.8431	8.76991	5.75643	7.16045	12.4338	8.47193	17.0156	0	10.0465	13.541	10.5843	9.68447	4.46192	9.48223	8.65413	8.41817	9.15763	11.5629	11.7289	14.8246	9.46859	9.67916	12.4949	8.7179	11.0519	12.7765
PWY-5973: cis-vaccenate biosynthesis|g__Enterococcus.s__Enterococcus_faecalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Enterococcus.s__Enterococcus_faecium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	26.9382	40.1753	56.6665	0	16.7691	30.9346	8.25571	0	5.20587	8.91279	0	0	5.73118	17.7792	9.14079	32.4744	5.93169	12.7849	0	9.47805	8.36345	6.32555	4.72925	1.61226	0	12.8896	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.545592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Listeria.s__Listeria_monocytogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.59022	0	1.31855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.58634
PWY-5973: cis-vaccenate biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.745417
PWY-5973: cis-vaccenate biosynthesis|g__Streptococcus.s__Streptococcus_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.95452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|unclassified	0	0	8.11756	19.7864	0	16.6884	11.7112	10.7457	5.93032	13.6959	7.53131	8.19342	0	20.643	0	0	21.8711	0	0	6.93823	28.2329	0	0	12.2024	7.00548	11.0851	22.0701	7.61627	0	0	0	0	0	0	0	18.1367
PWY-5981: CDP-diacylglycerol biosynthesis III	49.1765	0	43.0741	14.2444	0	24.8856	0	24.1041	23.2365	152.586	44.9975	157.263	151.144	92.6398	142.435	154.598	63.1508	110.627	95.5879	141.012	58.5738	0	55.6093	146.475	125.539	140.054	132.018	166.524	181.944	0	40.5425	0	23.5093	50.9323	39.8847	58.1349
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Escherichia.s__Escherichia_coli	0	0	0	8.67221	0	8.23301	0	0	0	0	0	5.18898	0	0	0	0	0.866001	0	3.3572	0	0	0	0	0	0	3.4093	0	4.8462	0	0	0	0	0	0	0	0
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25043	0	3.41699	0	0	0	0	0	0	2.10117	0	0	0	0	0	0	0	0	0	0
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Lactobacillus.s__Lactobacillus_acidophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.5383	0	20.0668	37.0812	0	0	0	0	9.92381	0	10.5294	0	11.6108	0	0	0	0	0	0	0
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Streptococcus.s__Streptococcus_equinus	1.85522	0	0	0	0	0	0	0	0	5.77044	0	1.64586	2.58857	0	0	2.65607	1.20618	0	0.794017	0	0	0	0	8.13301	2.09549	3.42126	5.31104	2.44471	5.3025	0	0	0	0	0	0	1.81143
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Streptococcus.s__Streptococcus_pneumoniae	0	0	4.44606	0	0	0	0	0	0	18.1026	0	12.6389	19.6881	14.9432	13.1777	15.0015	0.771858	0	1.79239	0	0	0	0	23.3875	11.0715	21.5654	10.4723	22.0217	21.8797	0	0	0	0	0	0	1.9874
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Streptococcus.s__Streptococcus_salivarius	3.29022	0	1.90954	0	0	0	0	0	0	19.9233	0	16.2407	18.8131	12.2621	14.605	20.4907	0.570051	0	1.27288	0	0	0	0	17.6653	13.8232	15.0429	10.368	16.4523	15.9526	0	0	0	0	0	3.44104	1.95275
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Streptococcus.s__Streptococcus_thermophilus	2.12022	0	1.45913	0	0	0	0	0	0	0	0	0	0	1.79182	0	0	0	0	0	0	0	0	0	0	0	0.83052	0	0	0.499793	0	0	0	0	0	2.41569	3.04706
PWY-5981: CDP-diacylglycerol biosynthesis III|unclassified	0	0	0	0	0	3.05366	0	3.64372	6.02789	0	0	0	0	0	6.27799	6.71902	0	0	2.6708	7.04064	1.9947	0	0	0	2.59247	3.16624	1.77338	0	1.86445	0	0	0	0	0	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)	60.793	51.2528	60.9962	192.135	142.088	216.852	133.797	206.36	187.829	152.628	57.257	165.614	129.156	121.553	131.509	161.487	191.01	98.5969	188.963	137.287	163.243	45.858	123.321	137.422	135.497	128.998	135.529	99.4461	141.787	69.8348	0	36.819	44.2928	54.0821	0	63.3459
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12278	0	3.72509	0	0	0	0	0	2.53311	0	0	0	3.71857	0	0	0	0	0	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67939	0	1.02694	0	0	0	0	0	1.01147	0	0	0	1.1711	0	0	0	0	0	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	10.4168	12.644	0	0	0	0	13.9301	0	0	0	0	13.8768	0	8.08081	0	0	0	10.4184	0	0	12.5051	8.07047	0	5.99101	0	0	0	15.7307	12.437	0	18.1752
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Bifidobacterium.s__Bifidobacterium_animalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.79544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Escherichia.s__Escherichia_coli	0	0	0	31.6407	15.5394	63.086	0	11.8099	32.7591	16.6541	0	6.10057	10.7854	0	0	8.68261	20.5865	0	40.5988	8.86707	14.5896	0	10.5056	0	12.3754	7.9638	1.95464	0	13.8036	0	0	0	0	0	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)|unclassified	0	0	0	21.1814	0	19.4655	13.0216	11.7228	6.67395	12.5302	0	8.84446	0	20.2095	0	0	19.1035	0	0	6.4195	24.6811	0	0	11.3622	7.18758	11.2333	16.831	7.62633	0	0	0	0	0	0	0	6.43954
PWY-5994: palmitate biosynthesis (type I fatty acid synthase)	0	0	0	22.9301	5.43499	23.4105	19.838	0	0	19.6143	0	17.9823	12.0157	0	0	10.3133	19.7166	0	7.81217	25.9053	18.4456	0	29.5739	0	18.8699	19.0081	10.2332	17.2512	7.18687	0	0	0	0	0	0	1.64879
PWY-6071: superpathway of phenylethylamine degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6071: superpathway of phenylethylamine degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6071: superpathway of phenylethylamine degradation|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6071: superpathway of phenylethylamine degradation|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	402.477	318.572	398.353	314.736	305.502	338.804	336.156	304.969	344.236	359.387	317.811	388.419	324.433	296.388	340.321	340.192	383.035	178.799	385.625	409.676	321.032	333.253	317.559	322.223	389.227	363.82	389.655	378.226	394.24	310.026	310.159	335.528	400.095	286.813	342.521	448.803
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.19319	0	0	0	3.54857	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.26687	0	2.84765	0	3.73265	0	0	0	2.4926	0	3.36555	0	2.35096	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.888636	0	1.24506	0	1.8765	0	0	0	1.12524	0	1.29521	0	1.32395	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Alistipes.s__Alistipes_putredinis	7.85761	0	5.8413	0	0	5.08334	0	0	0	0	0	6.40733	0	0	0	6.5453	9.56645	0	8.65064	12.2177	12.8072	0	14.0843	0	12.9416	10.3903	9.79227	10.4464	8.10039	0	0	0	0	0	0	7.11085
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	7.34222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.35368
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_caccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_dorei	3.82339	2.44205	3.82217	1.23227	0	3.02169	2.22179	1.89062	1.45524	1.64172	0	1.98596	2.74844	2.13086	3.26017	0	3.11959	0	0	0.741653	0	4.87086	1.13716	2.50607	1.40159	0.889027	1.1683	0	2.58099	6.18531	4.73866	5.67711	1.8958	5.74782	0	2.97666
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_faecis	0	0	0	0.68955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis	0.782224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.520814	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	1.82089	0	0	0	0	0	0	0	0	0	0	1.10139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67113	0	1.90403	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	23.8347	20.769	19.9205	19.0338	18.8285	5.88602	14.2949	16.1446	14.8497	13.7335	7.89017	15.7633	12.6904	14.4165	15.6652	8.70481	14.9182	0	10.8153	10.1654	12.3126	18.7624	0	13.5087	15.8439	13.2888	11.494	14.8811	11.6061	25.6283	0	19.1367	11.3167	0	18.5663	20.4533
