,Superclass1,Superclass2,pathway,
PWY-6427,Biosynthesis,Secondary Metabolite Biosynthesis,rot-2'-enonate biosynthesis,
PWY-6430,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,thymine degradation,
PWY-6431,Biosynthesis,Aromatic Compound Biosynthesis,4-hydroxybenzoate biosynthesis IV,
PWY-6432,Biosynthesis,Secondary Metabolite Biosynthesis,curcuminoid biosynthesis,
PWY-6433,Biosynthesis,Fatty Acid and Lipid Biosynthesis,hydroxylated fatty acid biosynthesis (plants),
PWY-6435,Biosynthesis,Aromatic Compound Biosynthesis,4-hydroxybenzoate biosynthesis V,
PWY-6436,Biosynthesis,Secondary Metabolite Biosynthesis,perillyl aldehyde biosynthesis,
PWY-6437,Biosynthesis,Secondary Metabolite Biosynthesis,fenchol biosynthesis I,
PWY-6438,Biosynthesis,Secondary Metabolite Biosynthesis,phenylphenalenone biosynthesis,
PWY-6440,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,spermine and spermidine degradation II,
PWY-6441,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,spermine and spermidine degradation III,
PWY-6442,Biosynthesis,Secondary Metabolite Biosynthesis,spermidine hydroxycinnamic acid conjugates biosynthesis,
PWY-6443,Biosynthesis,Aromatic Compound Biosynthesis,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)",
PWY-6444,Biosynthesis,Aromatic Compound Biosynthesis,"benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)",
PWY-6445,Biosynthesis,Secondary Metabolite Biosynthesis,fenchol biosynthesis II,
PWY-6446,Biosynthesis,Aromatic Compound Biosynthesis,"benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)",
PWY-6447,Biosynthesis,Secondary Metabolite Biosynthesis,trichome monoterpenes biosynthesis,
PWY-6448,Biosynthesis,Secondary Metabolite Biosynthesis,hordatine biosynthesis,
PWY-6449,Biosynthesis,Secondary Metabolite Biosynthesis,fenchone biosynthesis,
PWY-6451,Biosynthesis,Secondary Metabolite Biosynthesis,3-carene biosynthesis,
PWY-6453,Biosynthesis,Fatty Acid and Lipid Biosynthesis,stigma estolide biosynthesis,
PWY-6454,Biosynthesis,Cell Structure Biosynthesis,vancomycin resistance I,
PWY-6455,Biosynthesis,Cell Structure Biosynthesis,vancomycin resistance II,
PWY-6456,Biosynthesis,Amine and Polyamine Biosynthesis,serinol biosynthesis,
PWY-6457,Biosynthesis,Aromatic Compound Biosynthesis,trans-cinnamoyl-CoA biosynthesis,
PWY-6458,Biosynthesis,Aromatic Compound Biosynthesis,benzoyl-CoA biosynthesis,
PWY-6459,Biosynthesis,Cell Structure Biosynthesis,peptidoglycan cross-bridge biosynthesis I (S. aureus),
PWY-6461,Biosynthesis,Cell Structure Biosynthesis,peptidoglycan cross-bridge biosynthesis II (E. faecium),
PWY-6462,Biosynthesis,Cell Structure Biosynthesis,peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis),
PWY-6463,Biosynthesis,Cell Structure Biosynthesis,peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens),
PWY-6464,Degradation/Utilization/Assimilation,Alcohol Degradation,polyvinyl alcohol degradation,
PWY-6466,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",pyridoxal 5'-phosphate biosynthesis II,
PWY-6467,Biosynthesis,Cell Structure Biosynthesis,Kdo transfer to lipid IVA III (Chlamydia),
PWY-6470,Biosynthesis,Cell Structure Biosynthesis,peptidoglycan biosynthesis V (&beta;-lactam resistance),
PWY-6471,Biosynthesis,Cell Structure Biosynthesis,peptidoglycan biosynthesis IV (Enterococcus faecium),
PWY-6473,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,4-aminobutanoate degradation IV,
PWY-6475,Biosynthesis,Secondary Metabolite Biosynthesis,trans-lycopene biosynthesis II (plants),
PWY-6476,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",cytidylyl molybdenum cofactor biosynthesis,
PWY-6477,Activation/Inactivation/Interconversion,Inactivation,gibberellin inactivation II (methylation),
PWY-6478,Biosynthesis,Carbohydrate Biosynthesis,GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis,
PWY-6481,Biosynthesis,Other Biosynthesis,L-dopachrome biosynthesis,
PWY-6482,Biosynthesis,Amino Acid Biosynthesis,diphthamide biosynthesis (archaea),
PWY-6483,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,ceramide degradation,
PWY-6486,Degradation/Utilization/Assimilation,Carboxylate Degradation,D-galacturonate degradation II,
PWY-6491,Degradation/Utilization/Assimilation,Carboxylate Degradation,D-galacturonate degradation III,
PWY-6493,Biosynthesis,Secondary Metabolite Biosynthesis,chanoclavine I aldehyde biosynthesis,
PWY-6494,Activation/Inactivation/Interconversion,Inactivation,gibberellin inactivation III (epoxidation),
PWY-6495,Biosynthesis,Secondary Metabolite Biosynthesis,ergotamine biosynthesis,
PWY-6497,Degradation/Utilization/Assimilation,Carboxylate Degradation,D-galactarate degradation II,
PWY-6498,Biosynthesis,Other Biosynthesis,eumelanin biosynthesis,
PWY-6499,Degradation/Utilization/Assimilation,Carboxylate Degradation,D-glucarate degradation II,
PWY-6501,Degradation/Utilization/Assimilation,Carboxylate Degradation,D-glucuronate degradation II,
PWY-6502,Detoxification,8-oxo-GTP and 8-oxo-dGTP Detoxification,oxidized GTP and dGTP detoxification,
PWY-6503,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of ergotamine biosynthesis,
PWY-6504,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,anthranilate degradation IV (aerobic),
PWY-6505,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-tryptophan degradation XII (Geobacillus),
PWY-6507,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,4-deoxy-L-threo-hex-4-enopyranuronate degradation,
PWY-6509,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,methanol oxidation to formaldehyde III,
PWY-6510,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,methanol oxidation to formaldehyde II,
PWY-6511,Biosynthesis,Secondary Metabolite Biosynthesis,3-methylarginine biosynthesis,
PWY-6512,Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,"hydrogen oxidation III (anaerobic, NADP)",
PWY-6515,Biosynthesis,Secondary Metabolite Biosynthesis,phloridzin biosynthesis,
PWY-6516,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,superpathway of microbial D-galacturonate and D-glucuronate degradation,
PWY-6517,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,N-acetylglucosamine degradation II,
PWY-6518,Degradation/Utilization/Assimilation,Carboxylate Degradation,glycocholate metabolism (bacteria),
PWY-6519,Biosynthesis,Other Biosynthesis,8-amino-7-oxononanoate biosynthesis I,
PWY-6520,Biosynthesis,Polyprenyl Biosynthesis,nonaprenyl diphosphate biosynthesis II,
PWY-6523,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,nitrite-dependent anaerobic methane oxidation,
PWY-6524,Biosynthesis,Carbohydrate Biosynthesis,lychnose and isolychnose biosynthesis,
PWY-6525,Biosynthesis,Carbohydrate Biosynthesis,stellariose and mediose biosynthesis,
PWY-6526,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,limonene degradation III (to perillate),
PWY-6527,Degradation/Utilization/Assimilation,Carbohydrate Degradation,stachyose degradation,
PWY-6529,Generation of Precursor Metabolites and Energy,Respiration,chlorate reduction,
PWY-6530,Generation of Precursor Metabolites and Energy,Respiration,perchlorate reduction,
PWY-6531,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,mannitol cycle,
PWY-6532,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,diphenylamine degradation,
PWY-6533,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,aniline degradation,
PWY-6534,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,phenylethylamine degradation II,
PWY-6535,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,4-aminobutanoate degradation I,
PWY-6536,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,4-aminobutanoate degradation III,
PWY-6537,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,4-aminobutanoate degradation II,
PWY-6538,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,"caffeine degradation III (bacteria, via demethylation)",
PWY-6539,Biosynthesis,Secondary Metabolite Biosynthesis,(Z)-phenylmethanethial S-oxide biosynthesis,
PWY-6540,Biosynthesis,Secondary Metabolite Biosynthesis,costunolide biosynthesis,
PWY-6543,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",4-aminobenzoate biosynthesis,
PWY-6544,Superpathways,Superpathways,superpathway of C28 brassinosteroid biosynthesis,
PWY-6545,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,pyrimidine deoxyribonucleotides de novo biosynthesis III,
PWY-6546,Activation/Inactivation/Interconversion,Inactivation,brassinosteroids inactivation,
PWY-6549,Biosynthesis,Amino Acid Biosynthesis,L-glutamine biosynthesis III,
PWY-6550,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,carbazole degradation,
PWY-6552,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,"caffeine degradation I (main, plants)",
PWY-6553,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,caffeine degradation II,
PWY-6554,Biosynthesis,Secondary Metabolite Biosynthesis,"1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)",
PWY-6555,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of 1D-myo-inositol hexakisphosphate biosynthesis (plants),
PWY-6556,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,pyrimidine ribonucleosides salvage II,
PWY-6557,Biosynthesis,Carbohydrate Biosynthesis,glycoaminoglycan-protein linkage region biosynthesis,
PWY-6558,Biosynthesis,Carbohydrate Biosynthesis,heparan sulfate biosynthesis (late stages),
PWY-6559,Biosynthesis,Amine and Polyamine Biosynthesis,spermidine biosynthesis II,
PWY-6562,Biosynthesis,Amine and Polyamine Biosynthesis,norspermidine biosynthesis,
PWY-6564,Biosynthesis,Carbohydrate Biosynthesis,heparan sulfate biosynthesis,
PWY-6565,Biosynthesis,Amine and Polyamine Biosynthesis,superpathway of polyamine biosynthesis III,
PWY-6566,Biosynthesis,Carbohydrate Biosynthesis,chondroitin biosynthesis,
PWY-6567,Biosynthesis,Carbohydrate Biosynthesis,chondroitin sulfate biosynthesis (late stages),
PWY-6568,Biosynthesis,Carbohydrate Biosynthesis,dermatan sulfate biosynthesis (late stages),
PWY-6569,Biosynthesis,Carbohydrate Biosynthesis,chondroitin sulfate biosynthesis,
PWY-6571,Biosynthesis,Carbohydrate Biosynthesis,dermatan sulfate biosynthesis,
PWY-6572,Degradation/Utilization/Assimilation,Carbohydrate Degradation,chondroitin sulfate degradation I (bacterial),
PWY-6573,Degradation/Utilization/Assimilation,Carbohydrate Degradation,chondroitin sulfate degradation (metazoa),
PWY-6574,Biosynthesis,Secondary Metabolite Biosynthesis,achromobactin biosynthesis,
PWY-6575,Biosynthesis,Secondary Metabolite Biosynthesis,juvenile hormone III biosynthesis I,
PWY-6576,Degradation/Utilization/Assimilation,Carbohydrate Degradation,dermatan sulfate degradation (metazoa),
PWY-6577,Biosynthesis,Polyprenyl Biosynthesis,farnesylcysteine salvage pathway,
PWY-6578,Biosynthesis,Other Biosynthesis,8-amino-7-oxononanoate biosynthesis III,
PWY-6579,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,superpathway of guanine and guanosine salvage,
PWY-6580,Biosynthesis,Fatty Acid and Lipid Biosynthesis,phosphatidylinositol biosynthesis I (bacteria),
PWY-6581,Biosynthesis,Secondary Metabolite Biosynthesis,"spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis",
PWY-6583,Generation of Precursor Metabolites and Energy,Fermentation,pyruvate fermentation to butanol I,
PWY-6585,Biosynthesis,Secondary Metabolite Biosynthesis,2-methylketone biosynthesis,
PWY-6587,Generation of Precursor Metabolites and Energy,Fermentation,pyruvate fermentation to ethanol III,
PWY-6588,Generation of Precursor Metabolites and Energy,Fermentation,pyruvate fermentation to acetone,
PWY-6590,Generation of Precursor Metabolites and Energy,Fermentation,superpathway of Clostridium acetobutylicum acidogenic fermentation,
PWY-6591,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,manganese oxidation I,
PWY-6592,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,manganese oxidation II,
PWY-6593,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfoacetate degradation,
PWY-6594,Generation of Precursor Metabolites and Energy,Fermentation,superpathway of Clostridium acetobutylicum solventogenic fermentation,
PWY-6595,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,superpathway of guanosine nucleotides degradation (plants),
PWY-6596,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,adenosine nucleotides degradation I,
PWY-6598,Biosynthesis,Fatty Acid and Lipid Biosynthesis,sciadonate biosynthesis,
PWY-6599,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,guanine and guanosine salvage II,
PWY-66,Biosynthesis,Carbohydrate Biosynthesis,GDP-L-fucose biosynthesis I (from GDP-D-mannose),
PWY-6602,Biosynthesis,Secondary Metabolite Biosynthesis,C-glycosylflavone biosynthesis I,
PWY-6603,Biosynthesis,Fatty Acid and Lipid Biosynthesis,dicranin biosynthesis,
PWY-6604,Generation of Precursor Metabolites and Energy,Fermentation,superpathway of Clostridium acetobutylicum acidogenic and solventogenic fermentation,
PWY-6605,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,adenine and adenosine salvage II,
PWY-6606,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,guanosine nucleotides degradation II,
PWY-6607,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,guanosine nucleotides degradation I,
PWY-6608,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,guanosine nucleotides degradation III,
PWY-6609,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,adenine and adenosine salvage III,
PWY-6610,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,adenine and adenosine salvage IV,
PWY-6611,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,adenine and adenosine salvage V,
PWY-6612,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of tetrahydrofolate biosynthesis,
PWY-6613,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis","tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate",
PWY-6614,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",tetrahydrofolate biosynthesis,
PWY-6616,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfolactate degradation I,
PWY-6617,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,adenosine nucleotides degradation III,
PWY-6618,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,guanine and guanosine salvage III,
PWY-6619,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,adenine and adenosine salvage VI,
PWY-6620,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,guanine and guanosine salvage,
PWY-6621,Biosynthesis,Aromatic Compound Biosynthesis,salicylate glucosides biosynthesis I,
PWY-6622,Biosynthesis,Carbohydrate Biosynthesis,heptadecane biosynthesis,
PWY-6623,Biosynthesis,Aromatic Compound Biosynthesis,salicylate glucosides biosynthesis II,
PWY-6624,Biosynthesis,Aromatic Compound Biosynthesis,salicylate glucosides biosynthesis III,
PWY-6626,Biosynthesis,Cell Structure Biosynthesis,CDP-2-glycerol biosynthesis,
PWY-6627,Biosynthesis,Secondary Metabolite Biosynthesis,salinosporamide A biosynthesis,
PWY-6628,Biosynthesis,Amino Acid Biosynthesis,superpathway of L-phenylalanine biosynthesis,
PWY-6629,Biosynthesis,Amino Acid Biosynthesis,superpathway of L-tryptophan biosynthesis,
PWY-6630,Biosynthesis,Amino Acid Biosynthesis,superpathway of L-tyrosine biosynthesis,
PWY-6631,Biosynthesis,Secondary Metabolite Biosynthesis,O -methylation of tricetin,
PWY-6632,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,"caffeine degradation IV (bacteria, via demethylation and oxidation)",
PWY-6633,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,"caffeine degradation V (bacteria, via trimethylurate)",
PWY-6634,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,"2,3-dihydroxypropane-1-sulfonate degradation",
PWY-6636,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,salicylate degradation III,
PWY-6637,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfolactate degradation II,
PWY-6638,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfolactate degradation III,
PWY-6640,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,salicylate degradation IV,
PWY-6641,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,superpathway of sulfolactate degradation,
PWY-6642,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,(R)-cysteate degradation,
PWY-6643,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",coenzyme M biosynthesis II,
PWY-6644,Biosynthesis,Secondary Metabolite Biosynthesis,fluoroacetate and fluorothreonine biosynthesis,
PWY-6645,Biosynthesis,Secondary Metabolite Biosynthesis,labdane-type diterpenes biosynthesis,
PWY-6646,Detoxification,Detoxification,fluoroacetate degradation,
PWY-6648,Biosynthesis,Fatty Acid and Lipid Biosynthesis,rhamnolipid biosynthesis,
PWY-6649,Degradation/Utilization/Assimilation,Carboxylate Degradation,glycolate and glyoxylate degradation III,
PWY-6650,Biosynthesis,Secondary Metabolite Biosynthesis,juvenile hormone III biosynthesis II,
PWY-6653,Biosynthesis,Secondary Metabolite Biosynthesis,ent -kaurene biosynthesis II,
PWY-6654,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",phosphopantothenate biosynthesis III,
PWY-6655,Biosynthesis,Carbohydrate Biosynthesis,xanthan biosynthesis,
PWY-6657,Biosynthesis,Storage Compound Biosynthesis,polyhydroxydecanoate biosynthesis,
PWY-6658,Biosynthesis,Carbohydrate Biosynthesis,acetan biosynthesis,
PWY-6659,Biosynthesis,Secondary Metabolite Biosynthesis,fusicoccin A biosynthesis,
PWY-6660,Biosynthesis,Secondary Metabolite Biosynthesis,2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis,
PWY-6661,Biosynthesis,Secondary Metabolite Biosynthesis,4-hydroxy-2(1H)-quinolone biosynthesis,
PWY-6662,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of quinolone and alkylquinolone biosynthesis,
PWY-6664,Biosynthesis,Metabolic Regulator Biosynthesis,di-myo-inositol phosphate biosynthesis,
PWY-6665,Biosynthesis,Secondary Metabolite Biosynthesis,pterostilbene biosynthesis,
PWY-6666,Biosynthesis,Secondary Metabolite Biosynthesis,pyocyanin biosynthesis,
PWY-6667,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,resveratrol degradation,
PWY-6668,Biosynthesis,Secondary Metabolite Biosynthesis,"(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis",
PWY-6669,Biosynthesis,Secondary Metabolite Biosynthesis,&delta;-guaiene biosynthesis,
PWY-6670,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,citronellol degradation,
PWY-6672,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,cis-genanyl-CoA degradation,
PWY-6673,Biosynthesis,Secondary Metabolite Biosynthesis,caffeoylglucarate biosynthesis,
PWY-6675,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfur oxidation IV (intracellular sulfur),
PWY-6676,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,superpathway of sulfide oxidation (phototrophic sulfur bacteria),
PWY-6677,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,thiosulfate oxidation IV (multienzyme complex),
PWY-6678,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,geraniol and nerol degradation,
PWY-6679,Biosynthesis,Secondary Metabolite Biosynthesis,jadomycin biosynthesis,
PWY-6681,Biosynthesis,Secondary Metabolite Biosynthesis,neurosporaxanthin biosynthesis,
PWY-6682,Biosynthesis,Secondary Metabolite Biosynthesis,dehydrophos biosynthesis,
PWY-6683,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfate reduction III (assimilatory),
PWY-6684,Activation/Inactivation/Interconversion,Activation,glucosinolate breakdown (via thiocyanate-forming protein),
PWY-6685,Biosynthesis,Metabolic Regulator Biosynthesis,glucosylglycerate biosynthesis II,
PWY-6686,Biosynthesis,Metabolic Regulator Biosynthesis,mannosylglucosylglycerate biosynthesis I,
PWY-6687,Biosynthesis,Metabolic Regulator Biosynthesis,mannosylglucosylglycerate biosynthesis II,
PWY-6688,Degradation/Utilization/Assimilation,Hormone Degradation,thyronamine and iodothyronamine metabolism,
PWY-6689,Macromolecule Modification,Nucleic Acid Processing,tRNA splicing,
PWY-6690,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate,
PWY-6691,Biosynthesis,Secondary Metabolite Biosynthesis,plaunotol biosynthesis,
PWY-6692,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,Fe(II) oxidation,
PWY-6693,Degradation/Utilization/Assimilation,Carbohydrate Degradation,galactose degradation IV,
PWY-6694,Degradation/Utilization/Assimilation,Carboxylate Degradation,oxalate degradation I,
PWY-6695,Degradation/Utilization/Assimilation,Carboxylate Degradation,oxalate degradation II,
PWY-6696,Degradation/Utilization/Assimilation,Carboxylate Degradation,oxalate degradation III,
PWY-6697,Degradation/Utilization/Assimilation,Carboxylate Degradation,oxalate degradation IV,
PWY-6698,Degradation/Utilization/Assimilation,Carboxylate Degradation,oxalate degradation V,
PWY-6699,Biosynthesis,Secondary Metabolite Biosynthesis,oxalate biosynthesis,
PWY-6700,Macromolecule Modification,Nucleic Acid Processing,queuosine biosynthesis,
PWY-6703,Biosynthesis,Secondary Metabolite Biosynthesis,preQ0 biosynthesis,
PWY-6704,Degradation/Utilization/Assimilation,Carboxylate Degradation,L-ascorbate degradation IV,
PWY-6707,Biosynthesis,Aromatic Compound Biosynthesis,gallate biosynthesis,
PWY-6708,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",ubiquinol-8 biosynthesis (prokaryotic),
PWY-6710,Biosynthesis,Fatty Acid and Lipid Biosynthesis,poly-hydroxy fatty acids biosynthesis,
PWY-6711,Macromolecule Modification,Nucleic Acid Processing,archaeosine biosynthesis,
PWY-6713,Degradation/Utilization/Assimilation,Carbohydrate Degradation,L-rhamnose degradation II,
PWY-6714,Degradation/Utilization/Assimilation,Carbohydrate Degradation,L-rhamnose degradation III,
PWY-6717,Degradation/Utilization/Assimilation,Carbohydrate Degradation,"(1,4)-&beta;-xylan degradation",
PWY-6718,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfoacetaldehyde degradation III,
PWY-6720,Biosynthesis,Secondary Metabolite Biosynthesis,toyocamycin biosynthesis,
PWY-6721,Biosynthesis,Secondary Metabolite Biosynthesis,sangivamycin biosynthesis,
PWY-6722,Biosynthesis,Secondary Metabolite Biosynthesis,candicidin biosynthesis,
PWY-6724,Degradation/Utilization/Assimilation,Carbohydrate Degradation,starch degradation II,
PWY-6728,Generation of Precursor Metabolites and Energy,Generation of Precursor Metabolites and Energy,methylaspartate cycle,
PWY-6730,Biosynthesis,Other Biosynthesis,methylhalides biosynthesis (plants),
PWY-6731,Degradation/Utilization/Assimilation,Carbohydrate Degradation,starch degradation III,
PWY-6733,Biosynthesis,Cell Structure Biosynthesis,sporopollenin precursors biosynthesis,
PWY-6735,Degradation/Utilization/Assimilation,Carbohydrate Degradation,starch degradation IV,
PWY-6736,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfur volatiles biosynthesis,
PWY-6737,Degradation/Utilization/Assimilation,Carbohydrate Degradation,starch degradation V,
PWY-6738,Biosynthesis,Secondary Metabolite Biosynthesis,pinitol biosynthesis I,
PWY-6739,Biosynthesis,Secondary Metabolite Biosynthesis,pinitol biosynthesis II,
PWY-6742,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,methane oxidation to methanol II,
PWY-6744,Generation of Precursor Metabolites and Energy,Hydrogen Production,hydrogen production I,
PWY-6745,Detoxification,Detoxification,phytochelatins biosynthesis,
PWY-6748,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,nitrate reduction VII (denitrification),
PWY-6749,Biosynthesis,Carbohydrate Biosynthesis,CMP-legionaminate biosynthesis I,
PWY-6751,Generation of Precursor Metabolites and Energy,Hydrogen Production,superpathway of hydrogen production,
PWY-6752,Biosynthesis,Aromatic Compound Biosynthesis,o-diquinones biosynthesis,
PWY-6753,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,S-methyl-5'-thioadenosine degradation III,
PWY-6754,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,S-methyl-5'-thioadenosine degradation I,
PWY-6756,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,S-methyl-5'-thioadenosine degradation II,
PWY-6758,Generation of Precursor Metabolites and Energy,Hydrogen Production,hydrogen production II,
PWY-6759,Generation of Precursor Metabolites and Energy,Hydrogen Production,hydrogen production III,
PWY-6760,Degradation/Utilization/Assimilation,Carbohydrate Degradation,xylose degradation III,
PWY-6762,Biosynthesis,Aromatic Compound Biosynthesis,salicylate glucosides biosynthesis IV,
PWY-6763,Biosynthesis,Aromatic Compound Biosynthesis,salicortin biosynthesis,
PWY-6765,Generation of Precursor Metabolites and Energy,Hydrogen Production,hydrogen production IV,
PWY-6766,Biosynthesis,Aromatic Compound Biosynthesis,salicin biosynthesis,
PWY-6767,Biosynthesis,Secondary Metabolite Biosynthesis,"4,4'-diapolycopenedioate biosynthesis",
PWY-6769,Degradation/Utilization/Assimilation,Carbohydrate Degradation,rhamnogalacturonan type I degradation I (fungi),
PWY-6771,Degradation/Utilization/Assimilation,Carbohydrate Degradation,rhamnogalacturonan type I degradation II (bacteria),
PWY-6772,Generation of Precursor Metabolites and Energy,Hydrogen Production,hydrogen production V,
PWY-6773,Biosynthesis,Carbohydrate Biosynthesis,callose biosynthesis,
PWY-6778,Degradation/Utilization/Assimilation,Carbohydrate Degradation,laminaribiose degradation,
PWY-6780,Generation of Precursor Metabolites and Energy,Hydrogen Production,hydrogen production VI,
PWY-6781,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,chlorogenic acid degradation,
PWY-6784,Degradation/Utilization/Assimilation,Carbohydrate Degradation,cellulose and hemicellulose degradation (cellulolosome),
PWY-6785,Generation of Precursor Metabolites and Energy,Hydrogen Production,hydrogen production VIII,
PWY-6786,Detoxification,Metabolic Clusters,detoxification of reactive carbonyls in chloroplasts,
PWY-6787,Biosynthesis,Secondary Metabolite Biosynthesis,flavonoid biosynthesis (in equisetum),
PWY-6788,Degradation/Utilization/Assimilation,Carbohydrate Degradation,cellulose degradation II (fungi),
PWY-6789,Degradation/Utilization/Assimilation,Carbohydrate Degradation,"(1,3)-&beta;-D-xylan degradation",
PWY-6790,Degradation/Utilization/Assimilation,Carbohydrate Degradation,L-arabinan degradation,
PWY-6791,Degradation/Utilization/Assimilation,Carbohydrate Degradation,xyloglucan degradation I (endoglucanase),
PWY-6792,Biosynthesis,Secondary Metabolite Biosynthesis,scopoletin biosynthesis,
PWY-6794,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,adenosine 5'-phosphoramidate biosynthesis,
