Pathway	ENRIQ_10_S11_L001_Coverage	ENRIQ_11_S12_L001_Coverage	ENRIQ_12_S13_L001_Coverage	ENRIQ_13_S14_L001_Coverage	ENRIQ_14_S15_L001_Coverage	ENRIQ_15_S16_L001_Coverage	ENRIQ_16_S17_L001_Coverage	ENRIQ_17_S18_L001_Coverage	ENRIQ_18_S19_L001_Coverage	ENRIQ_19_S20_L001_Coverage	ENRIQ_1_S2_L001_Coverage	ENRIQ_20_S21_L001_Coverage	ENRIQ_21_S22_L001_Coverage	ENRIQ_22_S23_L001_Coverage	ENRIQ_23_S24_L001_Coverage	ENRIQ_24_S25_L001_Coverage	ENRIQ_25_S26_L001_Coverage	ENRIQ_26_S27_L001_Coverage	ENRIQ_27_S28_L001_Coverage	ENRIQ_28_S29_L001_Coverage	ENRIQ_29_S30_L001_Coverage	ENRIQ_2_S3_L001_Coverage	ENRIQ_30_S31_L001_Coverage	ENRIQ_31_S32_L001_Coverage	ENRIQ_32_S33_L001_Coverage	ENRIQ_33_S34_L001_Coverage	ENRIQ_34_S35_L001_Coverage	ENRIQ_35_S36_L001_Coverage	ENRIQ_36_S37_L001_Coverage	ENRIQ_37_S38_L001_Coverage	ENRIQ_38_S39_L001_Coverage	ENRIQ_39_S40_L001_Coverage	ENRIQ_3_S4_L001_Coverage	ENRIQ_40_S41_L001_Coverage	ENRIQ_41_S42_L001_Coverage	ENRIQ_42_S43_L001_Coverage	ENRIQ_43_S44_L001_Coverage	ENRIQ_44_S45_L001_Coverage	ENRIQ_45_S46_L001_Coverage	ENRIQ_46_S47_L001_Coverage	ENRIQ_47_S48_L001_Coverage	ENRIQ_48_S49_L001_Coverage	ENRIQ_49_S50_L001_Coverage	ENRIQ_4_S5_L001_Coverage	ENRIQ_50_S51_L001_Coverage	ENRIQ_51_S52_L001_Coverage	ENRIQ_52_S53_L001_Coverage	ENRIQ_53_S54_L001_Coverage	ENRIQ_54_S55_L001_Coverage	ENRIQ_55_S56_L001_Coverage	ENRIQ_56_S57_L001_Coverage	ENRIQ_57_S58_L001_Coverage	ENRIQ_58_S59_L001_Coverage	ENRIQ_59_S60_L001_Coverage	ENRIQ_5_S6_L001_Coverage	ENRIQ_60_S61_L001_Coverage	ENRIQ_61_S62_L001_Coverage	ENRIQ_62_S63_L001_Coverage	ENRIQ_6_S7_L001_Coverage	ENRIQ_7_S8_L001_Coverage	ENRIQ_8_S9_L001_Coverage	ENRIQ_9_S10_L001_Coverage
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	0	0	0	0	3.31E-05	0	0	0	0	0	0	0	0	0	0	0	0	2.1515	0	0	28.1848	0	2.26E-05	0	0	0	0	0	0	0	3564.12	0	0	16726.1	17570.5	16512.1	0.547207	331.88	0	10712.2	18782	17248.2	215.405	0	46.2516	0	18080.5	15526.9	9959.57	11243.1	3904.67	0	17929.1	18288.3	0	12064.7	0	0	0	0	0	0
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type"	0	0	0	62.9318	0.00676521	1.56E-05	23.2829	0.000346302	0.0029884	99.448	0	0.329602	3.16E-05	3.41087	5.69001	0	11.1623	8874.71	2.42E-05	0	157.414	0	2121.79	0	0.851537	2712.69	0.0259551	944.678	47.9925	0.00171118	385.652	0	0	0	0	0	1.20742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.914707	0	0	0	0
PWY-2941: L-lysine biosynthesis II	0	0	0	0	0	0	0	0	0	2085.14	0	7.01E-05	3.43354	0.000622033	132.244	1645.45	0	0.0137461	0	0	0	0	0	1881.18	1601.79	623.642	280.501	40.451	1197.92	1.11E-06	0	0	0	0	0	0	0.00130546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2942: L-lysine biosynthesis III	16814.8	14213.7	18102.6	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17040.6	11130.1	10902.9	11939.2	11905	12099.9	11218.5	11121.3	11022.7	11940.9	11772.7	18373.5	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13484.3	13129	9424.92	0.202006	16172.2	16380.2	11167.3	12845.7	12915.1	0.000173537	18466.1	11879.3	13331.5	14792.5	12659.7	11926.3	105.88	16142.2	0	14290.5	12587.2	12218	3764.16	17142.8	13174.7	11581.8	18538.4	16140.8	13241.5	17957.6	6424.67	16560.1
PWY-3001: superpathway of L-isoleucine biosynthesis I	2118.88	0	0	12074.6	12246.9	12008.1	13098.2	12778.7	11628	10799.6	149.357	11130.1	10902.9	11939.2	11905	12099.9	11218.5	10518.8	11022.7	11940.9	11772.7	3.32648	12545.4	12867.8	10882.6	10019.9	10805.6	10994.4	10071.3	11089.9	13346.4	13129	710.519	7.23E-05	0	0	11167.3	12845.7	12914.7	0.000400198	0	0	13330	0.0241233	12630.4	11924.8	0	0.00025631	0.000123219	14190.7	12587.1	12216.9	0.204356	0	135.527	7326.66	83.5522	3.52363	1.01985	0	0.369334	0
PWY-3841: folate transformations II (plants)	17721.3	18982.1	18355.3	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17299.1	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13240.5	11022.7	11940.9	11772.7	16282.6	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	8023.82	13126.3	21283.6	0.0823608	6543.89	8799.27	11167.3	12845.7	12915.1	0.0849908	1.8795	8883.49	11915.8	18005.2	12659.7	11926.3	52.8568	353.415	0	3379.18	12587.1	12218	437.898	139.013	18360.7	13453.4	18548.9	20175.5	20947.6	23122.8	22358.3	16561.8
PWY-4041: &gamma;-glutamyl cycle	0	0	0	7480.05	2234.25	8960.59	11.7292	6102.39	2512.78	10799.6	0	11121.5	10293.3	3115.9	6464.31	10569.9	1455.55	296.106	5865.51	2113.16	11322.7	0	2100.5	2713.91	10843.8	7795.62	10764.2	10886	10066.5	6147.46	8133.14	11209.1	0	16018.9	17569.4	15917.1	4509	1563.95	11717	13453.7	18915.4	17224.4	11910.2	0	982.833	4165.77	17304	17087.2	16651	10579.5	11233	2030.46	16465.7	10872.2	0	15828.6	0	0	0	0	0	0
PWY-4984: urea cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5004: superpathway of L-citrulline metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5005: biotin biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5022: 4-aminobutanoate degradation V	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5030: L-histidine degradation III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5088: L-glutamate degradation VIII (to propanoate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI	17544.3	19148.9	18352.5	12074.6	12246.7	12008.1	13098.8	12778.7	11628	10799.6	17299	11130.1	10902.9	11939.2	11905	12099.9	11218.5	11344.9	11022.7	11940.9	11772.7	20950.3	12545.5	12999.4	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13458.2	13129	12357.4	0.235044	13371.9	14578.3	11167.3	12845.7	12915.1	0.00020187	10849.6	0.422594	13331.2	17533.9	12659.7	11926.3	8.41577	14495.9	0	14364.2	12587.2	12218	1.40138	3958.38	18271.2	11595.8	18539.9	20181.7	19965.7	23115.1	22199.3	16561.8
PWY-5100: pyruvate fermentation to acetate and lactate II	2043.08	43.1628	24.5375	8150.39	8326.32	12003.1	12951	1000.22	11628	10799.6	6270.97	11130.1	10876.4	8105.93	11902.6	12081.3	11213.1	8784.38	11021.8	11935.5	10855.5	3813.47	6253.5	7752.29	10881.9	10018.6	10805.6	10994.4	10071.3	10795.7	8172.37	1260.39	101.188	0	0	0	11063.5	12753.3	2488.1	0	0	0	12430.3	2527.8	2962.37	7754.03	0	0	0	4.45E-06	10708.6	8238.03	0	0	14456.6	0	8866.53	20095.5	0.144413	6.12747	0	2.10578
PWY-5103: L-isoleucine biosynthesis III	17721.3	19050	18355.4	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17299.1	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13244.1	11022.7	11940.9	11772.7	21240.3	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13486.1	13129	21824.9	17220.6	17570.5	16512.1	11167.3	12845.7	12915.1	17707.9	18828.4	17252.5	13331.5	19085.9	12659.7	11926.3	18145.8	17059.3	16651.3	14823	12587.2	12218	17911.4	18288.3	18395.3	15830.5	18549	20185.1	20953.7	23334.7	22510.3	16561.8
PWY-5104: L-isoleucine biosynthesis IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5130: 2-oxobutanoate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0	0	0	0	1.13498	0	0	0	0	0	0	0	0	0	0	1.21E-06	0	0.0245718	0	0	0	0	1.00E-05	0	0	0	0	0	0.00166781	0	8967.25	0.00103588	0	17220.6	17570.5	16510.8	0	0	4156.21	17707.9	18915.7	17252.3	1772.35	0	6.08E-05	0.000139537	18145.8	17087.3	16651.3	9984.12	5.74764	0	17929.1	18288.3	0	6968.46	0	0	0	0	0	0
"PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0	0	0	0	34.148	12008.1	0	12778.6	0	0	0	11130.1	0	0	11905	0	0.00034665	6.43671	11022.7	11940.7	21.833	0	1.25E-06	0	0.00550553	10019.9	10805.6	4.07E-05	0	11090	9644.28	13129	0.340883	3433.98	675.067	11132.1	0	12845.7	12915.1	2161.19	70.413	15045.1	1275.95	0	12659.5	11926.2	64.6498	0.0227142	15042.8	14822.2	12587.2	12217.9	9752.7	11480	14.1662	12685.1	0	0	0	0.000133008	0	0
PWY-5180: toluene degradation I (aerobic) (via o-cresol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0	6.52E-05	0	3.62E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000274242	0	0	0	0	0	0.000674304	0	0	0	0.000752018	0	8.93E-06	0	0	3.54E-06	0.0014603	0	0	0	0	0	0	3.42E-06	0	0	2.90E-05	0	0.275054	2.93E-05	0	0.000329275	0	0	0	0	0	0
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000450435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000220044	0	0	0	0	0	0
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	0	0	0	0	0.00358835	0	0	0	0	0	0	0	0	0	0	0	0	2716.83	0	0	0	0	0	0	0	0	0	0	0	9.98E-06	4933.93	1.31E-06	0	0	0	0	0	0	0.0606779	0	0	0	0.000734566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	0	0	0	0	1.22E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.240615	0	0	0	0	0	0	0	0	0	0	0	0	856.224	0.0208384	0	13597.2	7126.57	0.089423	0	0	0.000476568	13066.5	17826.1	5.18E-06	0	0	0.00225976	1.19E-06	13677.6	8.90132	16651.3	11500.3	0	0	8790.11	19.9694	0	11.8136	0	0	0	0	0	0
PWY-5367: petroselinate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	0	0	0	9714.49	6138.43	10780.5	13049.2	12577.4	11628	5926.88	0	11108	3524.45	7783.23	10478.2	4156.34	11218.4	13135.1	11022.7	11940.9	11770	0	12286	9180.09	10854.5	10006.2	10594.7	10362	10069.2	11090	13427.8	12367	0	0	0	0	11167.3	9066.99	12859.3	0	0	0	12637.8	0	0	10219	0	0	0	0.0556872	8845.45	12089.6	0	0	0	3.17E-06	0	0.0276576	0	0	0	0
PWY-5392: reductive TCA cycle II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5415: catechol degradation I (meta-cleavage pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5484: glycolysis II (from fructose 6-phosphate)	0	0	0	10454.7	11702.2	6305.96	5492.82	10402.2	9991.73	10799.6	0	11130.1	10902.9	10160.5	11902.2	12099.9	2460.95	11871.6	11020.9	10608.8	11392.8	0	11919.7	12997.8	10882.6	10019.9	10805.6	10994.3	10071.3	11089.8	4.21891	1171.12	0	17220.2	17542.1	16508.3	11167	605.809	5087.67	16171.4	17528.2	17230	426.232	0	6528.97	9515.47	17843.3	14070.4	16643.5	12219.3	172.048	7922.74	16862.6	18264.1	0	12618.7	0	0	0	0	0	0
PWY-5497: purine nucleobases degradation II (anaerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5505: L-glutamate and L-glutamine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00672139	0	0	0	0	0	0	0	0	0	0	0	0	0.00187996	0	0	5.79903	0.000265315	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83E-05	0	0	0	0.000441057	0	0	0	0	0	0	0	0	0
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5656: mannosylglycerate biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000342546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5659: GDP-mannose biosynthesis	0	0	0	0	0.0354622	0	0	0	0	2.16E-06	0	0	0	0	0	0	0	1.32E-05	0	0	0	0	1.25E-06	0	0	0	0	0	0	0	0.000457178	0	0	0	4992.99	54.941	0	0	0	0	10.2124	150.721	0	0	0	0	2.85419	1.20E-05	0	0	0	0	0.000213357	2.74E-05	0	0	0	0	0	0	0	0
PWY-5667: CDP-diacylglycerol biosynthesis I	17704.8	16375.3	18346.8	12074.6	11876.1	11981.1	13013.8	7705.48	11627.7	10799.6	16422.8	11130.1	10902.9	11590.8	11900.1	12099.9	11218.5	11782	11022.7	11940.9	11772.7	19852.5	11592.6	12495.1	10882.6	10019.9	10805.6	10994.4	10071.3	11089.8	13485.8	13129	21815.6	17220.6	17570.5	16512.1	11167.3	12845.7	12915.1	16263.9	18915.7	17252.5	4001.03	18383.8	12659.7	11926.3	1020.59	17087.3	16651.3	14823	12587.1	12218	17929.1	18288.3	18100.5	15824.4	12568.1	486.642	20429.4	22298.9	21837.4	16561.8
PWY-5675: nitrate reduction V (assimilatory)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00910855	0	0	0	0	0.702369	5.30E-05	741.833	0	0	0	0	17470.3	7045.24	0	0	0	0	0.021255	341.156	0	0	0	0	0	0	0	0
PWY-5676: acetyl-CoA fermentation to butanoate II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I	17721.3	18804.3	18355.3	12074.6	12239.5	12008.1	13098.8	12778.7	11628	10799.6	17292.7	11130.1	10902.9	11935.7	11905	12099.9	11218.5	13146.2	11022.7	11940.9	11772.7	21314.3	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	12696.5	13081.9	21824.5	0	0.0210952	11.1617	11167.3	12845.7	12915.1	0	0.010398	3.45E-06	12660.1	19089.4	11657.5	11925.9	1.27175	0.0155016	0	5761.79	12587.2	12218	0.000328103	4.70039	18394	2320	18351.1	19964.1	20953.6	23329.8	22454.8	16561.8
PWY-5690: TCA cycle II (plants and fungi)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5692: allantoin degradation to glyoxylate II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5695: inosine 5'-phosphate degradation	17632.6	18155.4	18354.5	12074.6	12238.7	12008	13098.3	12598.2	11628	10799.6	17299	11130.1	10902.9	11939.2	11905	12099.9	11218.5	10770.7	11022.7	11940.9	11772.7	16094.4	12543.5	12999.4	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13476.6	13129	21799.7	17220.5	17569.9	16512.1	11167.3	12845.7	12915.1	17337	16838.3	17252.5	13331.5	19088.3	12659.7	11926.3	18145.7	17087.3	436.116	14822.7	12587.2	12218	16673.3	18245.1	15231.7	15830.5	11628.8	31.1025	20936.3	13435.1	18138.2	16561.8
PWY-5705: allantoin degradation to glyoxylate III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5723: Rubisco shunt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.08872	0	0	0	0	0	0	0	0	0	0	0	8.87E-06	4.45455	0	0	0	0.332582	0.00966124	0	0	0	0	0	0	189.648	0	2.53E-05	0	0	0	0	0	0	0	0	1.83E-06	0	0.758307	0	0	0	0	0	0
PWY-5747: 2-methylcitrate cycle II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5838: superpathway of menaquinol-8 biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5840: superpathway of menaquinol-7 biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5845: superpathway of menaquinol-9 biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5850: superpathway of menaquinol-6 biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5896: superpathway of menaquinol-10 biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5897: superpathway of menaquinol-11 biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5898: superpathway of menaquinol-12 biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5899: superpathway of menaquinol-13 biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5913: partial TCA cycle (obligate autotrophs)	0	0	0	0	6.2174	0	0	0	0	0	0	0	0	0	0	0	0	0.00780343	0	0	0	0	1.25E-06	0	0	0	0	0	0	0	0.00298042	0	0	9.40011	303.791	295.257	0	0	0	574.552	3113.57	9446.5	1.33E-06	0	0	0	1382.27	4163.48	2069.51	0.711251	0	0	102.405	1880.54	0	0.0508619	0	0	0	0	0	0
PWY-5918: superpathway of heme b biosynthesis from glutamate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5920: superpathway of heme b biosynthesis from glycine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
